# scan = 220
# date = 11/10/2003
# time = 1:35:54 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan sgl -2 1 .4
# builtin_command = scan sgl -2 1 .4
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 222 order parameter DN T = 10.0000
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = 
# preset_type = normal 
# preset_channel = mcu
# preset_value = 1.000000
# def_x = sgl
# def_y = detector
# col_headers = 
#   Pt.        sgl       time   detector    monitor        mcu         m2         s1         s2        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    -1.9975      0.939      0.000   3700.000      1.000    41.2537   -35.2697   -75.4005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2509    -0.2005     0.1774     1.9877    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      2    -1.6025      0.927      7.000   3700.000      1.000    41.2537   -35.2697   -75.4005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2509    -0.1776     0.1537     1.9884    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      3    -1.2000      0.946     45.000   3700.000      1.000    41.2537   -35.2697   -75.4005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2509    -0.1543     0.1296     1.9890    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      4    -0.8000      0.925    150.000   3700.000      1.000    41.2537   -35.2697   -75.4005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2509    -0.1311     0.1056     1.9895    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      5    -0.4000      0.931    312.000   3700.000      1.000    41.2537   -35.2697   -75.4005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2509    -0.1079     0.0817     1.9900    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      6     0.0005      0.937    504.000   3700.000      1.000    41.2537   -35.2697   -75.4005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2509    -0.0847     0.0576     1.9903    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      7     0.4000      0.929    602.000   3700.000      1.000    41.2537   -35.2697   -75.4005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2509    -0.0615     0.0337     1.9905    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      8     0.8000      0.906    593.000   3700.000      1.000    41.2537   -35.2697   -75.4005    -0.0020    -0.0020    -0.0010    20.6266    41.2556     3.2509    -0.0383     0.0097     1.9907    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
# Sum of Counts = 2213
# Center of Mass = 0.183206+/-0.012611
# Full Width Half-Maximum = 1.067330+/-0.024220
# 1:36:18 PM  11/10/2003   scan completed.
