# scan = 15
# date = 10/22/2003
# time = 9:23:40 PM
# experiment = Alignment and Intensity Checks
# experiment_number = 41
# command = scanrel a2 -4 4 .25
# builtin_command = scan a2 @(a2)+-4 @(a2)+4 0.250000
# users = MY
# local_contact = MY
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Sample with lattice params=2*pi
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 6.280000,6.280000,6.280000,90.000000,90.000000,90.000000
# ubmatrix = -0.112597,-0.112597,0.000000,0.000000,0.000000,-0.159236,0.112597,-0.112597,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = 
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = a2
# def_y = detector
# col_headers = 
#   Pt.         a2       time   detector    monitor        mcu         m1         m2         s1         s2        sgl        sgu        stl        stu         a1          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    -3.9935      1.000   2427.000    514.000      0.004    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000    24.2110    -0.0001    -0.0001   -24.1988    14.7002  1496.5725 -1481.8723     0.0000     0.0000     0.000
      2    -3.7546      1.000   3787.000    531.000      0.005    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000    25.9207    -0.0001    -0.0001   -25.9076    14.7002  1693.0475 -1678.3473     0.0000     0.0000     0.000
      3    -3.4991      1.000   5778.000    529.000      0.005    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000    28.0066    -0.0001    -0.0001   -27.9924    14.7002  1949.1573 -1934.4571     0.0000     0.0000     0.000
      4    -3.2520      1.000   8412.000    582.000      0.005    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000    30.3373    -0.0001    -0.0001   -30.3219    14.7002  2256.6486 -2241.9485     0.0000     0.0000     0.000
      5    -2.9993      1.000  12005.000    492.000      0.004    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000    33.1168    -0.0001    -0.0001   -33.1000    14.7002  2652.8009 -2638.1008     0.0000     0.0000     0.000
      6    -2.7521      1.000  17174.000    547.000      0.005    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000    36.3299    -0.0001    -0.0001   -36.3115    14.7002  3150.6404 -3135.9402     0.0000     0.0000     0.000
      7    -2.5021      1.000  22986.000    534.000      0.005    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000    40.2243    -0.0001    -0.0001   -40.2039    14.7002  3811.3870 -3796.6869     0.0000     0.0000     0.000
      8    -2.2549      1.000  29015.000    544.000      0.005    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000    44.9250    -0.0001    -0.0001   -44.9023    14.7002  4692.6757 -4677.9755     0.0000     0.0000     0.000
      9    -1.9995      1.000  34746.000    513.000      0.004    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000    51.0036    -0.0001    -0.0001   -50.9777    14.7002  5968.0456 -5953.3454     0.0000     0.0000     0.000
     10    -1.7523      1.000  41127.000    543.000      0.005    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000    58.5735    -0.0001    -0.0001   -58.5438    14.7002  7770.3991 -7755.6989     0.0000     0.0000     0.000
     11    -1.5024      1.000  47862.000    580.000      0.005    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000    68.7602    -0.0002    -0.0002   -68.7254    14.7002 10570.6353 -10555.9351     0.0000     0.0000     0.000
     12    -1.2524      1.000  54770.000    529.000      0.005    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000    83.0129    -0.0002    -0.0002   -82.9708    14.7002 15210.3252 -15195.6250     0.0000     0.0000     0.000
     13    -0.9970      1.000  61443.000    513.000      0.004    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000   104.9623    -0.0003    -0.0003  -104.9091    14.7002 24002.0677 -23987.3675     0.0000     0.0000     0.000
     14    -0.7498      1.000  67066.000    544.000      0.005    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000   140.4426    -0.0003    -0.0003  -140.3714    14.7002 42435.7558 -42421.0556     0.0000     0.0000     0.000
     15    -0.4999      1.000  70664.000    518.000      0.005    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000   211.9948    -0.0005    -0.0005  -211.8873    14.7002 95479.7333 -95465.0332     0.0000     0.0000     0.000
     16    -0.2527      1.000  71524.000    538.000      0.005    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000   421.9858    -0.0010    -0.0010  -421.7719    14.7002 373660.1631 -373645.4629     0.0000     0.0000     0.000
     17     0.0027      1.000  70085.000    575.000      0.005    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0000     0.0000     0.0000     0.0000    14.7002    14.7002     0.0000     0.0000     0.0000     0.000
     18     0.2472      1.000  67838.000    582.000      0.005    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000   431.4214    -0.0011    -0.0011  -431.2027    14.7002 390449.8248 -390435.1246     0.0000     0.0000     0.000
     19     0.5026      1.000  65038.000    522.000      0.005    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000   210.8215    -0.0005    -0.0005  -210.7147    14.7002 94438.8612 -94424.1610     0.0000     0.0000     0.000
     20     0.7498      1.000  61657.000    596.000      0.005    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000   140.4424    -0.0003    -0.0003  -140.3712    14.7002 42435.6851 -42420.9849     0.0000     0.0000     0.000
     21     0.9998      1.000  56853.000    544.000      0.005    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000   104.6666    -0.0003    -0.0003  -104.6135    14.7002 23870.3428 -23855.6426     0.0000     0.0000     0.000
     22     1.2497      1.000  51762.000    550.000      0.005    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000    83.2012    -0.0002    -0.0002   -83.1590    14.7002 15277.2393 -15262.5392     0.0000     0.0000     0.000
     23     1.4996      1.000  46368.000    511.000      0.004    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000    68.8910    -0.0002    -0.0002   -68.8561    14.7002 10609.3799 -10594.6798     0.0000     0.0000     0.000
     24     1.7468      1.000  40764.000    510.000      0.004    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000    58.7660    -0.0001    -0.0001   -58.7362    14.7002  7819.3370 -7804.6368     0.0000     0.0000     0.000
     25     1.9968      1.000  34741.000    540.000      0.005    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000    51.0774    -0.0001    -0.0001   -51.0515    14.7002  5984.4697 -5969.7695     0.0000     0.0000     0.000
     26     2.2467      1.000  29370.000    544.000      0.005    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000    45.0995    -0.0001    -0.0001   -45.0767    14.7002  4727.1523 -4712.4521     0.0000     0.0000     0.000
     27     2.5021      1.000  23863.000    530.000      0.005    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000    40.2243    -0.0001    -0.0001   -40.2039    14.7002  3811.3851 -3796.6850     0.0000     0.0000     0.000
     28     2.7493      1.000  18479.000    542.000      0.005    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000    36.3689    -0.0001    -0.0001   -36.3504    14.7002  3156.9358 -3142.2357     0.0000     0.0000     0.000
     29     3.0020      1.000  13151.000    564.000      0.005    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000    33.0841    -0.0001    -0.0001   -33.0673    14.7002  2647.9490 -2633.2488     0.0000     0.0000     0.000
     30     3.2465      1.000   8958.000    538.000      0.005    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000    30.3931    -0.0001    -0.0001   -30.3777    14.7002  2264.2889 -2249.5887     0.0000     0.0000     0.000
     31     3.5019      1.000   5762.000    485.000      0.004    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000    27.9826    -0.0001    -0.0001   -27.9684    14.7002  1946.1012 -1931.4011     0.0000     0.0000     0.000
     32     3.7463      1.000   3490.000    529.000      0.005    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000    25.9836    -0.0001    -0.0001   -25.9704    14.7002  1700.4998 -1685.7997     0.0000     0.0000     0.000
     33     3.9990      1.000   1849.000    551.000      0.005    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010    90.0000    24.1741    -0.0001    -0.0001   -24.1619    14.7002  1492.4651 -1477.7649     0.0000     0.0000     0.000
# Sum of Counts = 1150814
# Center of Mass = -0.009958+/-0.001433
# Full Width Half-Maximum = 3.075261+/-0.002739
# 9:25:14 PM  10/22/2003   scan completed.
