# scan = 7
# date = 10/22/2003
# time = 8:38:56 PM
# experiment = Alignment and Intensity Checks
# experiment_number = 41
# command = scanrel m1 -3 3 .1
# builtin_command = scan m1 @(m1)+-3 @(m1)+3 0.100000
# users = MY
# local_contact = MY
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Sample with lattice params=2*pi
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 6.280000,6.280000,6.280000,90.000000,90.000000,90.000000
# ubmatrix = -0.112597,-0.112597,0.000000,0.000000,0.000000,-0.159236,0.112597,-0.112597,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = 
# preset_type = normal 
# preset_channel = time
# preset_value = 2.000000
# def_x = m1
# def_y = detector
# col_headers = 
#   Pt.         m1       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    48.0400      2.000    132.000    146.000      0.001   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      2    48.1399      2.000    123.000    151.000      0.001   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      3    48.2400      2.000     96.000    175.000      0.002   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      4    48.3399      2.000    117.000    201.000      0.002   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      5    48.4399      2.000    124.000    200.000      0.002   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      6    48.5400      2.000    109.000    216.000      0.002   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      7    48.6399      2.000    139.000    215.000      0.002   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      8    48.7400      2.000    119.000    236.000      0.002   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      9    48.8399      2.000    119.000    271.000      0.002   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     10    48.9400      2.000    125.000    275.000      0.002   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     11    49.0399      2.000    108.000    308.000      0.003   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     12    49.1400      2.000    125.000    324.000      0.003   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     13    49.2399      2.000    127.000    302.000      0.003   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0000    -0.0000    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
