# scan = 5
# date = 10/22/2003
# time = 6:49:53 PM
# experiment = Alignment and Intensity Checks
# experiment_number = 41
# command = scanrel m1 -1 1 .05
# builtin_command = scan m1 @(m1)+-1 @(m1)+1 0.050000
# users = MY
# local_contact = MY
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Sample with lattice params=2*pi
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 6.280000,6.280000,6.280000,90.000000,90.000000,90.000000
# ubmatrix = -0.112597,-0.112597,0.000000,0.000000,0.000000,-0.159236,0.112597,-0.112597,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = 
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = m1
# def_y = detector
# col_headers = 
#   Pt.         m1       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    49.9941      1.000   3411.000   3820.000      0.033   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      2    50.0440      1.000   3819.000   4177.000      0.036   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      3    50.0940      1.000   4248.000   4915.000      0.043   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      4    50.1440      1.000   4878.000   5842.000      0.051   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      5    50.1939      1.000   5961.000   6871.000      0.060   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      6    50.2440      1.000   6926.000   8479.000      0.074   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      7    50.2940      1.000   8165.000  10258.000      0.089   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      8    50.3440      1.000  10064.000  12279.000      0.107   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
      9    50.3940      1.000  12519.000  15131.000      0.132   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     10    50.4441      1.000  15044.000  18433.000      0.160   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     11    50.4940      1.000  18629.000  22490.000      0.196   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     12    50.5440      1.000  23010.000  27278.000      0.237   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     13    50.5940      1.000  28331.000  32540.000      0.283   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     14    50.6439      1.000  34583.000  38127.000      0.332   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     15    50.6940      1.000  41136.000  44291.000      0.385   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     16    50.7440      1.000  47579.000  50752.000      0.441   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     17    50.7940      1.000  54390.000  56656.000      0.493   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     18    50.8440      1.000  60690.000  62372.000      0.542   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     19    50.8941      1.000  65588.000  67481.000      0.587   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     20    50.9440      1.000  69130.000  70803.000      0.616   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     21    50.9940      1.000  71093.000  73029.000      0.635   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     22    51.0440      1.000  71806.000  73509.000      0.639   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     23    51.0939      1.000  70747.000  73255.000      0.637   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     24    51.1440      1.000  67486.000  71605.000      0.623   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     25    51.1940      1.000  62621.000  68060.000      0.592   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     26    51.2440      1.000  56056.000  63607.000      0.553   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     27    51.2940      1.000  48361.000  57545.000      0.500   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     28    51.3441      1.000  40540.000  51271.000      0.446   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     29    51.3940      1.000  33040.000  45068.000      0.392   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     30    51.4440      1.000  26389.000  38334.000      0.333   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     31    51.4940      1.000  20808.000  31971.000      0.278   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     32    51.5439      1.000  16330.000  26362.000      0.229   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     33    51.5940      1.000  13008.000  21654.000      0.188   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     34    51.6440      1.000  10668.000  17467.000      0.152   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     35    51.6940      1.000   8839.000  14528.000      0.126   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     36    51.7440      1.000   7378.000  11933.000      0.104   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     37    51.7941      1.000   6297.000   9781.000      0.085   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     38    51.8440      1.000   5427.000   8081.000      0.070   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     39    51.8940      1.000   4782.000   6839.000      0.059   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     40    51.9440      1.000   4145.000   5708.000      0.050   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     41    51.9939      1.000   3729.000   4994.000      0.043   -41.1660     0.0002    -0.7278    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481    -0.0962    -0.0962    -8.0428    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
# Sum of Counts = 1167651
# Center of Mass = 51.009611+/-0.066760
# Full Width Half-Maximum = 0.700304+/-0.017920
# 6:51:23 PM  10/22/2003   scan completed.
