# scan = 11
# date = 10/22/2003
# time = 9:12:16 PM
# experiment = Alignment and Intensity Checks
# experiment_number = 41
# command = scanrel a2 -4 4 .25
# builtin_command = scan a2 @(a2)+-4 @(a2)+4 0.250000
# users = MY
# local_contact = MY
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Sample with lattice params=2*pi
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 6.280000,6.280000,6.280000,90.000000,90.000000,90.000000
# ubmatrix = -0.112597,-0.112597,0.000000,0.000000,0.000000,-0.159236,0.112597,-0.112597,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = 
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = a2
# def_y = detector
# col_headers = 
#   Pt.         a2       time   detector    monitor        mcu         m1         m2         s1         s2        sgl        sgu        stl        stu         a1          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    -3.9935      1.000   1048.000    525.000      0.005    51.0520   -41.1660     0.0002    -0.6509    -0.0055     0.0000     0.0000    -0.0010     0.0000    24.2112    -0.2159    -0.2158   -24.1970    14.7002  1496.5724 -1481.8722     0.0000     0.0000     0.000
      2    -3.7491      1.000   1585.000    564.000      0.005    51.0520   -41.1660     0.0002    -0.6509    -0.0055     0.0000     0.0000    -0.0010     0.0000    25.9628    -0.2299    -0.2299   -25.9476    14.7002  1698.0105 -1683.3103     0.0000     0.0000     0.000
      3    -3.4991      1.000   2868.000    538.000      0.005    51.0520   -41.1660     0.0002    -0.6509    -0.0055     0.0000     0.0000    -0.0010     0.0000    28.0068    -0.2463    -0.2463   -27.9904    14.7002  1949.1571 -1934.4569     0.0000     0.0000     0.000
      4    -3.2492      1.000   4035.000    581.000      0.005    51.0520   -41.1660     0.0002    -0.6509    -0.0055     0.0000     0.0000    -0.0010     0.0000    30.3653    -0.2653    -0.2652   -30.3476    14.7002  2260.4641 -2245.7640     0.0000     0.0000     0.000
      5    -2.9965      1.000   6517.000    546.000      0.005    51.0520   -41.1660     0.0002    -0.6509    -0.0055     0.0000     0.0000    -0.0010     0.0000    33.1498    -0.2877    -0.2876   -33.1305    14.7002  2657.6648 -2642.9647     0.0000     0.0000     0.000
      6    -2.7493      1.000   9062.000    546.000      0.005    51.0520   -41.1660     0.0002    -0.6509    -0.0055     0.0000     0.0000    -0.0010     0.0000    36.3691    -0.3135    -0.3135   -36.3479    14.7002  3156.9369 -3142.2367     0.0000     0.0000     0.000
      7    -2.4966      1.000  13117.000    544.000      0.005    51.0520   -41.1660     0.0002    -0.6509    -0.0055     0.0000     0.0000    -0.0010     0.0000    40.3188    -0.3452    -0.3452   -40.2954    14.7002  3828.1741 -3813.4739     0.0000     0.0000     0.000
      8    -2.2495      1.000  18456.000    594.000      0.005    51.0520   -41.1660     0.0002    -0.6509    -0.0055     0.0000     0.0000    -0.0010     0.0000    45.0414    -0.3832    -0.3831   -45.0153    14.7002  4715.6191 -4700.9189     0.0000     0.0000     0.000
      9    -1.9968      1.000  23892.000    547.000      0.005    51.0520   -41.1660     0.0002    -0.6509    -0.0055     0.0000     0.0000    -0.0010     0.0000    51.0776    -0.4317    -0.4316   -51.0480    14.7002  5984.4725 -5969.7724     0.0000     0.0000     0.000
     10    -1.7496      1.000  29515.000    548.000      0.005    51.0520   -41.1660     0.0002    -0.6509    -0.0055     0.0000     0.0000    -0.0010     0.0000    58.6698    -0.4926    -0.4926   -58.6359    14.7002  7794.8118 -7780.1116     0.0000     0.0000     0.000
     11    -1.4996      1.000  35884.000    483.000      0.004    51.0520   -41.1660     0.0002    -0.6509    -0.0055     0.0000     0.0000    -0.0010     0.0000    68.8912    -0.5748    -0.5746   -68.8515    14.7002 10609.3866 -10594.6864     0.0000     0.0000     0.000
     12    -1.2497      1.000  42456.000    532.000      0.005    51.0520   -41.1660     0.0002    -0.6509    -0.0055     0.0000     0.0000    -0.0010     0.0000    83.2014    -0.6897    -0.6896   -83.1535    14.7002 15277.2508 -15262.5506     0.0000     0.0000     0.000
     13    -0.9943      1.000  48848.000    582.000      0.005    51.0520   -41.1660     0.0002    -0.6509    -0.0055     0.0000     0.0000    -0.0010     0.0000   105.2598    -0.8669    -0.8667  -105.1993    14.7002 24134.8481 -24120.1479     0.0000     0.0000     0.000
     14    -0.7471      1.000  56064.000    544.000      0.005    51.0520   -41.1660     0.0002    -0.6509    -0.0055     0.0000     0.0000    -0.0010     0.0000   140.9688    -1.1537    -1.1535  -140.8879    14.7002 42748.3348 -42733.6346     0.0000     0.0000     0.000
     15    -0.4971      1.000  62443.000    553.000      0.005    51.0520   -41.1660     0.0002    -0.6509    -0.0055     0.0000     0.0000    -0.0010     0.0000   213.1808    -1.7337    -1.7334  -213.0587    14.7002 96537.6057 -96522.9055     0.0000     0.0000     0.000
     16    -0.2499      1.000  66868.000    514.000      0.004    51.0520   -41.1660     0.0002    -0.6509    -0.0055     0.0000     0.0000    -0.0010     0.0000   426.6522    -3.4484    -3.4478  -426.4080    14.7002 381917.1164 -381902.4163     0.0000     0.0000     0.000
